Date,Open,High,Low,Close
17-September-2024,37854.77,37867.86,37716.58,37806.44
18-September-2024,37827.09,37847.22,37526.35,37668.29
19-September-2024,37860.52,37964.37,37380.08,37616.67
20-September-2024,37794.31,38213.85,37665.09,38157.50
23-September-2024,38262.66,38451.51,38248.65,38433.92
24-September-2024,38471.78,38502.84,38390.93,38445.64
25-September-2024,38458.15,38458.15,38257.42,38415.65
26-September-2024,38459.20,38639.98,38370.97,38620.05
27-September-2024,38673.79,38740.08,38579.02,38614.95
30-September-2024,38516.41,38553.11,38190.29,38227.64
1-October-2024,38255.49,38362.95,38145.23,38265.16
3-October-2024,37670.29,38023.18,37386.92,37452.29
4-October-2024,37360.85,37705.99,37025.99,37092.33
7-October-2024,37202.83,37293.51,36405.56,36550.05
8-October-2024,36341.02,37111.91,36339.60,37066.19
9-October-2024,37273.74,37505.13,37158.69,37200.99
10-October-2024,37374.26,37439.67,37168.41,37190.94
11-October-2024,37199.94,37277.20,37110.18,37203.52
14-October-2024,37302.56,37389.66,37258.55,37374.44
15-October-2024,37478.02,37512.71,37279.29,37392.36
16-October-2024,37361.52,37448.44,37170.07,37290.96
17-October-2024,37381.80,37385.23,36821.57,36841.12
18-October-2024,36720.42,36982.94,36446.59,36927.00
21-October-2024,37095.03,37123.36,36610.15,36661.79
22-October-2024,36673.73,36722.36,35926.89,35961.33
23-October-2024,35838.99,36225.72,35748.07,35994.45
24-October-2024,36037.24,36076.75,35856.68,35917.15
25-October-2024,35969.16,35991.90,35260.15,35458.88
28-October-2024,35475.15,35860.42,35321.87,35698.13
29-October-2024,35767.18,35944.00,35387.90,35921.51
30-October-2024,35901.91,36075.15,35752.57,35845.27
31-October-2024,35921.34,35921.34,35639.92,35738.11
1-November-2024,36036.98,36041.64,35921.14,35951.72
4-November-2024,35972.19,35972.19,35229.66,35474.13
5-November-2024,35382.90,35743.50,35194.50,35712.44
6-November-2024,35885.10,36303.95,35781.76,36271.20
7-November-2024,36405.72,36405.72,35889.10,35903.63
8-November-2024,35967.26,35981.51,35596.37,35663.87
11-November-2024,35598.59,35857.19,35412.11,35580.38
12-November-2024,35670.48,35786.24,35103.93,35161.57
13-November-2024,35053.27,35138.34,34457.49,34533.58
14-November-2024,34531.76,34807.35,34519.57,34600.01
18-November-2024,34721.77,34728.10,34321.03,34497.01
19-November-2024,34618.84,35013.23,34573.38,34650.83
21-November-2024,34615.76,34615.76,34166.54,34361.41
22-November-2024,34418.97,35051.27,34370.27,35009.77
25-November-2024,35535.15,35711.79,35454.49,35528.25
26-November-2024,35666.14,35702.95,35468.25,35530.27
27-November-2024,35625.70,35800.76,35486.93,35732.57
28-November-2024,35804.86,35930.15,35394.54,35453.79
29-November-2024,35504.57,35790.21,35482.47,35726.11
2-December-2024,35735.15,35967.58,35593.78,35957.40
3-December-2024,36098.89,36264.85,36024.44,36246.75
4-December-2024,36380.38,36448.32,36191.66,36370.69
5-December-2024,36504.59,36755.28,36201.36,36619.24
6-December-2024,36707.45,36754.23,36546.40,36681.01
9-December-2024,36681.39,36737.41,36564.51,36639.05
10-December-2024,36713.65,36722.88,36529.09,36675.82
11-December-2024,36717.16,36797.65,36660.63,36736.37
12-December-2024,36760.05,36781.64,36555.91,36579.30
13-December-2024,36529.90,36771.51,35999.68,36746.91
16-December-2024,36750.60,36829.35,36619.74,36720.34
17-December-2024,36679.24,36718.12,36277.04,36304.88
18-December-2024,36340.29,36360.25,35979.25,36061.25
19-December-2024,35497.75,35813.13,35492.05,35762.67
20-December-2024,35844.22,35921.70,35025.81,35082.25
23-December-2024,35281.31,35426.27,35116.97,35231.44
24-December-2024,35304.44,35398.04,35131.54,35222.65
26-December-2024,35289.35,35361.20,35111.80,35265.03
27-December-2024,35329.31,35461.58,35273.72,35291.42
30-December-2024,35295.62,35412.19,35025.02,35178.37
31-December-2024,35058.51,35250.02,34854.32,35189.03
1-January-2025,35259.10,35405.83,35092.66,35352.14
2-January-2025,35431.06,35896.33,35357.18,35878.66
3-January-2025,35956.42,35956.42,35667.47,35702.07
6-January-2025,35758.04,35791.09,34862.05,34951.07
7-January-2025,34974.01,35281.23,34974.01,35135.64
